,Country,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Age dependency ratio, old","Age dependency ratio, young","Birth rate, crude (per 1,000 people)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Current health expenditure per capita, PPP (current international $)","Death rate, crude (per 1,000 people)",Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of current health expenditure),Domestic general government health expenditure (% of general government expenditure),Domestic general government health expenditure per capita (current US$),"Domestic general government health expenditure per capita, PPP (current international $)",Domestic private health expenditure (% of current health expenditure),Domestic private health expenditure per capita (current US$),"Domestic private health expenditure per capita, PPP  (current international $)","Fertility rate, total (births per woman)","GNI per capita, Atlas method (current US$)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, Hib3 (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)","Incidence of tuberculosis (per 100,000 people)","Labor force, female (% of total labor force)","Labor force, total","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)","Mortality rate, infant (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000)",Number of infant deaths,Number of neonatal deaths,Number of under-five deaths,Out-of-pocket expenditure (% of current health expenditure),Out-of-pocket expenditure per capita (current US$),"Out-of-pocket expenditure per capita, PPP (current international $)",Prevalence of anemia among children (% of children under 5),Prevalence of anemia among non-pregnant women (% of women ages 15-49),Prevalence of anemia among pregnant women (%),Prevalence of anemia among women of reproductive age (% of women ages 15-49),Prevalence of overweight (% of adults),"Prevalence of overweight, female (% of female adults)","Prevalence of overweight, male (% of male adults)",Sex ratio at birth (male births per female births),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","Tuberculosis case detection rate (%, all forms)","Tuberculosis death rate (per 100,000 people)",Tuberculosis treatment success rate (% of new cases),"Unemployment, female (% of female labor force)","Unemployment, male (% of male labor force)","Unemployment, total (% of total labor force)",ISO-alpha3 code_x,Year,cases of visceral leishmaniasis,Status of endemicity of cutaneous leishmaniasis 2017,ISO-alpha3 code_y,Buruli cases 2016,ISO-alpha3 code_x,Cases of cholera 2016,Cholera deaths 2016,Unnamed: 0,Oncho Status 2018,ISO-alpha3 code_y,Oncho cases 2016,Trachoma Operations 2018,Trachoma Pop at Risk 2018,Country code_x,Population requiring PC for STH Pre-SAC,National coverage Pre-SAC,Population requiring PC for STH SAC,National coverage SAC,Country code_y,Population requiring PC for SCH annually,Reported number of SAC treated for Schisto,Age group,National coverage Schisto tmt
0,Afghanistan,68.7942,4.741809822676267,81.82912352002171,33.214,36.4,19.5,44.1,10.19867734,57.24876048,162.78115818,6.747000000000001,0.52299458,5.12806279,2.01440592,2.93575239,8.34752001,77.40100618,44.31111664,125.99425431,4.635,570.0,65.0,65.0,65.0,60.0,62.0,189.0,35.1550818049344,13027576.0,65.024,62.412,63.673,29.8,27.7,31.8,53.2,40.3,70.4,60333.0,46279.0,79881.0,77.40100618,44.31111664,125.99425431,46.4,42.4,38.2,42.0,23.0,26.1,19.7,1.06,66.59025,60.47408000000001,0.2,0.0,0.4,64.0,33.0,93.0,2.60199999809265,1.10899996757507,1.63399994373322,AFG,2016,9,Endemic,AFG,,,677,5,,,,,0.0,,EMR,5644867,1,7902810,0.8181,,,,,
1,Albania,20.6796,18.481017348171576,25.52052275329688,11.816,2.9,4.0,93.1,6.69789475,271.54304258,759.66698419,7.379,2.77003546,41.35680773,9.50813332,112.30153404,314.17401407,57.98090142,157.44310384,440.46176526,1.713,4320.0,98.0,98.0,98.0,98.0,96.0,16.0,41.99778242712375,1332087.0,80.45100000000002,76.389,78.345,17.0,13.1,20.7,8.1,6.0,9.1,279.0,208.0,314.0,57.98090142,157.44310384,440.46176526,24.9,25.4,23.2,25.3,57.7,51.1,64.4,1.078,90.76234,85.64366,7.5,2.6,12.5,87.0,0.29,87.0,14.565999984741199,15.692999839782699,15.220000267028801,ALB,2016,15,Endemic,ALB,,,,,,,,,,,,,,,,,,,,
2,Algeria,10.4216,9.266539496216769,44.64134820918906,23.132,14.8,9.5,75.7,6.648475,260.41257932,998.15375388,4.765,4.50014952,67.68694359,10.73426065,176.26531566,675.61976829,32.28954319,84.08603227,322.29928747,2.776,4380.0,91.0,91.0,91.0,91.0,94.0,70.0,18.04141663993601,11921392.0,77.333,74.873,76.078,14.2,13.2,15.2,21.0,15.2,24.5,19751.0,14219.0,23045.0,30.88327082,80.42392213,308.26252704,30.0,35.5,38.9,35.7,62.0,66.1,57.8,1.05,85.34980999999998,81.34447,0.9,0.2,1.7,80.0,7.7,,18.628999710083,8.34700012207031,10.2019996643066,DZA,2016,74,Endemic,DZA,,,,,,,,,41.0,5392.0,,,,,,,,,,
3,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,100.0,,,,ASM,,,,,,,,,,,,,,,,,,,,,,,,
4,Andorra,,,,8.8,,,,10.36772767,3834.73058142,4978.7066016,4.3,5.09364379,49.12979925,14.01755583,1883.99543637,2446.02855853,50.87020075,1950.73514505,2532.67804307,,,98.0,94.0,98.0,98.0,97.0,6.0,,,,,,,,,3.3,1.5,3.4,2.0,1.0,2.0,41.69688586,1598.96323365,2075.96560907,12.8,13.6,21.6,13.9,63.7,56.9,70.3,,,,11.3,4.7,18.0,87.0,0.0,75.0,,,,AND,,,No autochthonous cases reported,AND,,,,,,,,,,,,,,,,,,,,
5,Angola,154.4722,4.6348470613598565,92.63936455268572,41.819,63.4,9.2,27.4,2.87782524,95.22079857,185.82040062,8.513,1.27022185,44.13827159,5.43269667,42.02879929,82.01788306,52.22011989999999,49.72439697,97.03560045,5.694,3770.0,55.0,55.0,55.0,53.0,45.0,362.0,50.103510171821355,11903178.0,64.411,58.717,61.547,16.5,16.0,17.2,55.8,29.9,84.6,65993.0,36029.0,98337.0,35.20893022,33.52622452,65.42537519,50.9,47.2,50.8,47.7,27.5,34.9,19.5,1.03,65.90548000000001,55.90101,6.4,2.3,10.7,57.0,61.0,27.0,7.638000011444089,6.92199993133545,7.281000137329099,AGO,2016,No data,No autochthonous cases reported,AGO,,AGO,78,3,0.0,Endemic,AGO,5553472,,,AFR,4207717,-,7337214,0.3872,AFR,6711724,1724711,SAC and Adults,0.2585
6,Antigua and Barbuda,44.663,9.743691878724741,35.07422670935915,16.225,11.9,6.3,81.8,4.30900835,623.11462593,976.3886597,5.7879999999999985,2.60925041,60.55338479,10.75906393,377.3169971,591.23638211,39.43076597,245.69886988,384.99752737,2.051,13870.0,92.0,92.0,92.0,87.0,88.0,3.4,,,78.738,73.83800000000002,76.36399999999998,22.6,20.0,25.2,5.6,4.0,7.7,9.0,7.0,13.0,32.18838038,200.57050603,314.28369582,32.3,22.0,25.0,22.1,48.0,55.6,40.1,1.03,84.92339,78.37295999999998,7.0,2.5,12.2,87.0,0.0,,,,,ATG,,,No autochthonous cases reported,ATG,,,,,,,,,,,AMR,50,-,111,-,,,,,
7,Argentina,63.0272,17.314863060086758,39.227385950022615,17.172,15.9,6.5,77.6,7.54838404,955.2009489,1531.0383612,7.564,5.61809585,74.42779571,13.56202729,710.93501083,1139.51810366,25.00831672,238.87967864,382.88692252,2.293,12220.0,92.0,92.0,92.0,87.0,90.0,27.0,41.49876446719241,19731973.0,80.31,72.777,76.577,15.8,12.2,19.7,9.7,6.3,10.9,7279.0,4711.0,8175.0,15.79818747,150.90443663,241.87631056,22.2,18.2,28.5,18.6,62.7,59.3,66.2,1.04,87.62943,76.49273000000002,9.8,4.0,16.1,87.0,1.5,54.0,9.16300010681152,7.20300006866455,8.01599979400635,ARG,2016,11,Endemic,ARG,,,,,,,,,,,,,,,,,,,,
8,Armenia,23.975,16.03161474854865,28.86336135681279,13.456,2.8,3.9,93.3,9.92732109,358.84174796,876.85685658,9.688,1.63330003,16.45257583,6.05354742,59.03871069,144.26553924,81.84817906,293.70543642,717.69137009,1.612,3750.0,94.0,94.0,94.0,96.0,97.0,44.0,45.97298457131093,1379508.0,77.64,71.265,74.618,22.3,15.0,30.9,11.9,7.0,13.3,470.0,274.0,529.0,80.64695440000001,289.39494085,707.15834929,31.5,29.2,35.5,29.4,54.4,54.4,54.2,1.131,86.55724000000002,72.1957,5.5,1.6,10.4,80.0,1.9,81.0,17.4829998016357,17.7310009002686,17.617000579834002,ARM,2016,17,Endemic,ARM,,,,,,,,,,,EUR,11515,-,27634,-,,,,,
9,Aruba,22.844,18.228951214803786,26.378202476489893,10.974,,,,,,,8.762,,,,,,,,,1.8,23550.0,,,,,,15.0,,,78.236,73.348,75.867,,,,,,,,,,,,,,,,,,,,1.05,87.75594,80.08163,,,,87.0,1.3,,,,,ABW,,,,,,,,,,,,,,,,,,,,,,,,
